CMDLINE python cli.py
MEM 21.671875 1775679285.7703
MEM 21.671875 1775679285.8705
MEM 21.671875 1775679285.9707
MEM 21.671875 1775679286.0710
MEM 21.671875 1775679286.1712
MEM 21.671875 1775679286.2714
MEM 21.671875 1775679286.3716
MEM 21.671875 1775679286.4718
MEM 21.671875 1775679286.5720
MEM 21.671875 1775679286.6723
MEM 21.671875 1775679286.7725
MEM 21.671875 1775679286.8727
MEM 21.671875 1775679286.9730
MEM 21.671875 1775679287.0738
MEM 21.671875 1775679287.1740
MEM 21.671875 1775679287.2742
MEM 21.671875 1775679287.3745
MEM 21.675781 1775679287.4748
MEM 21.675781 1775679287.5750
MEM 21.675781 1775679287.6752
MEM 21.675781 1775679287.7755
MEM 21.675781 1775679287.8757
MEM 21.675781 1775679287.9760
MEM 21.675781 1775679288.0762
MEM 21.675781 1775679288.1764
MEM 21.675781 1775679288.2772
MEM 21.675781 1775679288.3775
MEM 21.675781 1775679288.4777
MEM 21.675781 1775679288.5780
MEM 21.675781 1775679288.6783
MEM 21.675781 1775679288.7785
MEM 21.675781 1775679288.8788
MEM 21.675781 1775679288.9791
MEM 21.675781 1775679289.0794
MEM 21.675781 1775679289.1796
MEM 21.675781 1775679289.2798
MEM 21.675781 1775679289.3801
MEM 21.675781 1775679289.4803
MEM 21.675781 1775679289.5805
MEM 21.675781 1775679289.6812
MEM 21.675781 1775679289.7815
MEM 21.675781 1775679289.8817
MEM 21.675781 1775679289.9820
MEM 21.675781 1775679290.0822
MEM 21.675781 1775679290.1825
MEM 21.679688 1775679290.2827
MEM 21.679688 1775679290.3829
MEM 21.679688 1775679290.4832
MEM 21.679688 1775679290.5834
MEM 21.679688 1775679290.6837
MEM 21.679688 1775679290.7839
MEM 21.679688 1775679290.8842
MEM 21.679688 1775679290.9845
MEM 21.679688 1775679291.0847
MEM 21.679688 1775679291.1849
MEM 21.679688 1775679291.2852
MEM 21.679688 1775679291.3855
MEM 21.679688 1775679291.4857
MEM 21.679688 1775679291.5860
MEM 21.679688 1775679291.6862
MEM 21.679688 1775679291.7865
MEM 21.679688 1775679291.8868
MEM 21.679688 1775679291.9871
MEM 21.679688 1775679292.0873
MEM 21.679688 1775679292.1876
MEM 21.679688 1775679292.2878
MEM 21.679688 1775679292.3881
MEM 21.679688 1775679292.4883
MEM 21.679688 1775679292.5886
MEM 21.679688 1775679292.6889
MEM 21.679688 1775679292.7891
MEM 21.679688 1775679292.8894
MEM 21.679688 1775679292.9897
MEM 21.679688 1775679293.0900
MEM 21.679688 1775679293.1902
MEM 21.679688 1775679293.2904
MEM 21.679688 1775679293.3912
MEM 21.679688 1775679293.4915
MEM 21.679688 1775679293.5917
MEM 21.679688 1775679293.6919
MEM 21.679688 1775679293.7922
MEM 21.679688 1775679293.8924
MEM 21.679688 1775679293.9927
MEM 21.679688 1775679294.0929
MEM 21.679688 1775679294.1932
MEM 21.679688 1775679294.2934
MEM 21.679688 1775679294.3936
MEM 21.679688 1775679294.4938
MEM 21.683594 1775679294.5941
MEM 21.683594 1775679294.6943
MEM 21.683594 1775679294.7946
MEM 21.683594 1775679294.8948
MEM 21.683594 1775679294.9951
MEM 21.683594 1775679295.0953
MEM 21.683594 1775679295.1956
MEM 21.683594 1775679295.2958
MEM 21.683594 1775679295.3960
MEM 21.683594 1775679295.4963
MEM 21.683594 1775679295.5965
MEM 21.683594 1775679295.6968
MEM 21.683594 1775679295.7970
MEM 21.683594 1775679295.8972
MEM 21.683594 1775679295.9975
MEM 21.683594 1775679296.0977
MEM 21.683594 1775679296.1980
MEM 21.683594 1775679296.2982
MEM 21.683594 1775679296.3985
MEM 21.683594 1775679296.4992
MEM 21.683594 1775679296.5995
MEM 21.683594 1775679296.6997
MEM 21.683594 1775679296.8000
MEM 21.683594 1775679296.9002
MEM 21.683594 1775679297.0005
MEM 21.683594 1775679297.1008
